date,dji,test_1_ens_no_indic,test_5_ens_extensive_indic,test_7_ens_extensive_indic-25%,test_6_ens_extensive_indic+25%
2022-05-31,901737.5497,903251.3622,963029.7446,955515.4362,919924.0414
2022-06-01,896902.4987,898547.1874,953401.3493,931639.6318,948498.3553
2022-06-02,908793.9866,909042.86,969846.5195,934204.9006,944456.2911
2022-06-03,899265.9977,900396.9538,963142.3659,927805.0909,931064.9825
2022-06-06,899705.577,900787.6247,962378.4,918231.6439,933517.439
2022-06-07,906931.4606,908492.7567,967824.8336,931075.6602,924073.8619
2022-06-08,899572.1123,900964.7124,960174.6,939558.8697,932414.3357
2022-06-09,882130.3096,884062.4294,939881.3233,945644.6966,925531.1827
2022-06-10,858076.7742,860922.9601,909759.8582,944699.0723,924068.8616
2022-06-13,834131.2385,833672.658,880682.7867,942593.0816,936698.9386
2022-06-14,829978.9927,829132.8728,881358.9448,942372.4609,933909.5829
2022-06-15,838280.1744,838256.4528,891262.6847,946899.9313,927908.8007
2022-06-16,818013.4586,814043.1619,863518.7,947845.625,924460.4
2022-06-17,816966.8287,811413.8066,867195.3591,951122.4365,919883.1344
2022-06-21,834500.5085,833825.1168,879567.948,964972.5575,913517.471
2022-06-22,833212.5745,830052.7129,876741.8017,981822.0214,929548.4363
2022-06-23,838521.5319,832878.4809,880270.5534,972107.8,925732.7
2022-06-24,861025.8094,852899.8205,910680.3279,965548.1,946219.1565
2022-06-27,859319.6505,852966.0413,904003.992,974468.5,950602.4266
2022-06-28,845891.5039,838746.9978,885522.4423,961829.1535,956709.8004
2022-06-29,848141.6113,838582.2446,888201.0398,964739.3,952516.7
2022-06-30,841202.1429,831527.0231,879448.4878,975090.1962,955144.9056
2022-07-01,849998.9056,840173.4526,889458.7885,967027.6826,944624.9542
2022-07-05,846460.8642,833388.7148,891180.1303,953740.8065,955906.8717
2022-07-06,848370.3698,836099.5496,891120.5,934913.9346,965454.2
2022-07-07,857851.5926,844092.8878,902907.3,907171.2,974410.8403
2022-07-08,856583.3046,843057.8516,900555.3014,898270.1771,973436.437
2022-07-11,852092.112,838484.0016,896930.9406,904354.101,971631.6383
2022-07-12,846830.1342,832188.3352,899546.8654,884487.1235,974825.7479
2022-07-13,841129.9652,826688.732,892291.1557,879344.5735,973484.1937
2022-07-14,837231.676,820287.0741,890802.84,910560.1742,973987.6403
2022-07-15,855219.6161,838076.516,906115.3351,914177.9566,973635
2022-07-18,849325.1226,832962.2573,901363.7024,927943.1,972253.194
2022-07-19,869946.6942,853750.7081,927877.2541,940635.0586,980885.3657
2022-07-20,871252.9396,853755.194,934321.8,947037.4682,980808.5415
2022-07-21,875682.6317,857633.0171,940634.0749,934451.0357,987350.8495
2022-07-22,871921.2238,856385.0445,933965.4776,942480,991491.3868
2022-07-25,874401.7447,860239.1307,935865.4853,938934.3,996464.0633
2022-07-26,868156.0255,857333.575,941993.4,948016.7,992678.0814
2022-07-27,880074.847,867440.4697,946789.849,940657.8958,992161.7881
2022-07-28,889150.711,877225.6028,959658.6656,951755.9161,986144.3569
2022-07-29,897774.3967,890625.3014,979744.535,957138.0071,969601.56
2022-08-01,896497.0865,889734.6853,978764.8259,960323.9,962704.4821
2022-08-02,885502.748,885394.1728,975843.4,955450.8648,962687.0654
2022-08-03,896882.5324,895468.3043,978950.6143,946240.3672,970185.6
2022-08-04,894540.6013,892860.9456,977889,934663.7136,941906.1
2022-08-05,896635.6762,894988.7269,978863.3791,937740.3247,936879.1445
2022-08-08,897430.2714,895423.208,979135.1145,966133.318,927919.1431
2022-08-09,895841.4013,897132.6222,972646.4,954170.1842,923073.3757
2022-08-10,910467.6335,911355.3165,993229.7789,975202.4359,928067.585
2022-08-11,911210.0173,913810.6961,996686.759,965402.5124,920415.4983
2022-08-12,922809.8048,925329.0074,1005779.212,970646.6643,916445.9
2022-08-15,926947.85,929916.9762,1007241.323,965994.2287,927548.5627
2022-08-16,933496.1602,934016.7872,1010661.259,970046.8,931186.5536
2022-08-17,928803.2224,929661.0684,1003613.207,967455.4,941672.2847
2022-08-18,929314.8725,931163.6443,1005381.94,986389.5373,943812.3659
2022-08-19,921325.2507,922629.4071,994138.04,1004082,907545.5168
2022-08-22,903746.2463,905800.3784,974410.0255,1011798.283,910187.5378
2022-08-23,899536.3438,902089.1721,978344.9462,1010786.506,900888.934
2022-08-24,901166.5345,905627.9939,981317.8039,1007647.47,900788.5947
2022-08-25,909982.9966,916811.0787,990784.2023,1011254.801,904707.1896
2022-08-26,882420.355,890435.4817,956877.6485,1009091.376,895853.1824
2022-08-29,877379.7684,885821.993,950884.2491,1009679.7,881432.3325
2022-08-30,868957.7211,878081.3845,940955.4,1011326.047,882367.8152
2022-08-31,861292.3116,871634.7392,933069.8,1008253.396,873513.6834
2022-09-01,865282.7449,874202.46,929298.3578,1018682.858,866357.2208
2022-09-02,856044.5345,864917.3411,922039.8,1015402.587,862685.9217
2022-09-06,851312.0377,860029.8285,914522.2716,1032462.629,880692.0929
2022-09-07,863228.8839,872760.9273,925303.6417,1035307.035,868395.1
2022-09-08,868510.828,877377.2244,933591.9585,1041451.925,854141.9386
2022-09-09,878820.813,888354.8443,949741.065,1036599.249,875074.2549
2022-09-12,885097.3892,897574.0079,959410.8195,1036649.35,895897.9653
2022-09-13,850209.673,863937.4425,920561.1115,1033896.27,897463.8997
2022-09-14,851032.9364,865634.6896,926360.4793,1019588.348,887525.7235
2022-09-15,846296.8628,862933.2024,919778.5624,1010764.639,864918.641
2022-09-16,842486.5534,855646.5375,909066.2696,1012932.217,859463.5184
2022-09-19,847878.3656,861653.602,914999.1624,1024088.065,862401.383
2022-09-20,839310.6817,854467.3997,903327.5084,989985.6651,861280.2538
2022-09-21,825030.2297,839821.8892,889852.7988,987485.6487,881907.0548
2022-09-22,822102.8158,832451.2443,883878.1094,976623.8623,872154.0914
2022-09-23,808811.337,816682.2061,858496.8053,971518.5172,889436.3395
2022-09-26,799802.2054,805694.6967,846313.7615,979329.1,894652.6393
2022-09-27,796363.0879,800288.8666,844105.6175,965287.9,887245.7173
2022-09-28,811362.3806,814308.7729,864295.2974,959621.6153,884881.1898
2022-09-29,798840.0319,801053.229,847004.1123,974569.6391,905817.7607
2022-09-30,785170.5278,785463.6977,828235.2806,979648.9811,920976.9584
2022-10-03,806091.1137,806387.4098,851107.2986,985794.0787,929735.9084
2022-10-04,828653.0479,830010.4246,884991.5,994984.9226,920898.4617
2022-10-05,827492.7062,828522.0057,881312.1084,964134.3,923037.1473
2022-10-06,818009.8817,819721.4709,872866.335,959107.6,947022.0924
2022-10-07,800785.6264,800144.1838,857719.2875,966702.787,941565.3707
2022-10-10,798218.7806,794893.9939,855967.2567,965731.6905,936639.9
2022-10-11,799211.2238,792019.4504,853815.4403,970596.0226,920084.5
2022-10-12,798436.5949,791503.9452,853512.2374,966971.4045,912849.4985
2022-10-13,821065.2616,818804.1987,877663.2793,949413.4607,923326.7441
2022-10-14,810025.4918,805480.5896,864044.0324,952048.8905,938469.8411
2022-10-17,825086.018,822884.1079,877192.2363,943349.8077,949497.7
2022-10-18,834324.2284,833795.5278,888576.4773,935167.2,930538.2767
2022-10-19,831591.139,834717.6547,887280.104,928066.8845,966388.8809
2022-10-20,829125.0858,833390.1444,882019.4382,937589.1,961907.2877
2022-10-21,849597.1236,851329.2774,910197.6877,926038.6421,951468.9369
2022-10-24,860996.8209,858356.6186,921472.9312,916673.7852,952370.6138
2022-10-25,870211.5415,870314.0804,934379.0583,936869.3,957089.8
2022-10-26,870276.2985,863781.238,934314.1667,952771.9126,958715.1992
2022-10-27,875583.6543,867065.025,952261,957271.7251,966599.992
2022-10-28,898230.0984,892243.4221,974748.9559,942065.036,966195.9956
2022-10-31,894708.1261,888378.5721,969434.6746,918621.9972,976201.6068
2022-11-01,892528.2745,884235.5169,971958.2269,914121.6459,979417.4906
2022-11-02,878712.8134,866299.224,959810.4787,917405.653,985596.1127
2022-11-03,874708.1795,861495.6207,966445.054,916625.4765,971268.2561
2022-11-04,885695.471,868840.0029,980613.6078,941660.3785,967365.3671
2022-11-07,897278.8691,880103.6223,993619.8764,939913.2018,996492.9
2022-11-08,906403.5811,886986.1826,1004472.487,955054.8621,994143.273
2022-11-09,888721.8089,862466.4556,989867.641,958419.4437,997306.2705
2022-11-10,921561.2162,896100.9322,1029814.329,957585.2728,986140.4
2022-11-11,922449.2367,900196.4098,1040484.23,957026.8018,976316.5934
2022-11-14,916677.4773,893484.9834,1031974.618,979687.0031,978472.1761
2022-11-15,918214.2428,893333.4391,1034775.352,991345.0149,986777.7421
2022-11-16,917145.6713,890109.4968,1027716.708,992540.501,976274.9505
2022-11-17,916940.4561,888675.2547,1026303.919,993329.738,993844.6809
2022-11-18,922389.9784,893113.129,1028653.934,999802.9002,995904.3585
2022-11-21,921148.757,891789.2071,1033002.662,1023263.866,995519.9028
2022-11-22,932022.6036,901347.6748,1045640.311,1025014.76,973354.5026
2022-11-23,934645.4511,904870.0755,1043388.027,1015166.839,964107.3206
2022-11-25,938826.7388,907668.0783,1050074.132,1005456.663,955401.959
2022-11-28,925226.3694,890128.5604,1029783.306,1006825.325,956498.1
2022-11-29,925310.292,890397.6252,1035293.49,1006097.161,970344.1
2022-11-30,945461.6409,913887.321,1051077.156,1019267.884,959957.2944
2022-12-01,940138.216,906962.1498,1047242.782,1030315.041,964296.671
2022-12-02,941091.2605,907987.7024,1054311,1011052.455,964015.9822
2022-12-05,927895.2356,894413.4707,1042556.603,1020430.966,954346.8083
2022-12-06,918307.6681,883909.1509,1031011.725,996047.4068,965425.1118
2022-12-07,918350.9106,882308.3446,1035926.061,985882.6068,961558.0298
2022-12-08,923368.221,888902.9922,1042318.852,969631.3281,960899.6944
2022-12-09,915030.9505,882422.8359,1030870.639,982148.9329,957489.8799
2022-12-12,929478.8739,897578.9972,1047595.14,985499.1,944399.804
2022-12-13,932310.6737,900165.9444,1050691.661,1000855.908,959280.4517
2022-12-14,928421.4067,895693.5349,1048946.556,991281.6486,954992.4128
2022-12-15,907534.9344,875005.856,1027216.551,1001035.757,957294.9231
2022-12-16,899833.4895,863926.2929,1023827.86,1006656.902,970225.7507
2022-12-19,895380.2542,859376.6983,1021954.566,1017088.938,975577.1819
2022-12-20,897900.3873,862532.2816,1022655.769,1005884.542,972797.3698
2022-12-21,912298.128,873497.3454,1042214.902,1001463.208,965768.2197
2022-12-22,902758.9281,862199.4059,1027431.356,1028306.442,949036.0908
2022-12-23,907581.7004,868975.6027,1029029.064,1014628.365,945223.9126
2022-12-27,908610.2325,868128.8224,1032103.475,1015714.812,956314.3
2022-12-28,898610.3125,857024.6148,1020852.127,1010016.827,960533.8228
2022-12-29,908042.8475,868516.8601,1030322.693,1013600.119,964174.3451
2022-12-30,906032.4426,867794.7158,1028209.906,1016715.284,964262.0008
2023-01-03,905735.0833,864269.5122,1033771.148,1025675,969287.6399
2023-01-04,909381.3379,868560.9496,1049977.494,1012311.207,970717.4
2023-01-05,900096.3615,859367.4918,1045310.246,1026849.816,961473.9065
2023-01-06,919244.3765,876675.6286,1075297.74,1017715.324,977021.0408
2023-01-09,916156.7516,874092.0081,1065406.356,1016746.95,978382
2023-01-10,921253.1798,880180.9723,1072357.428,998560.9,973544.4753
2023-01-11,928603.4525,887921.8651,1076229.86,987987.7,968610.8468
2023-01-12,934533.6611,893097.4073,1083444.037,987462.4,967035.0879
2023-01-13,937612.5307,897636.1586,1088422.371,986387.0452,972373.8131
2023-01-17,926904.3939,890626.2547,1080825.869,995765.5418,970195.2307
2023-01-18,910124.5759,874507.5287,1058839.699,991093.5383,961993.6315
2023-01-19,903225.5206,863067.3078,1043189.405,998690.5251,966623.6
2023-01-20,912271.008,875225.8074,1055564.122,998651,979312.3231
2023-01-23,919215.6549,881025.3612,1063589.419,990275.8,975955.3739
2023-01-24,922069.3429,886327.343,1060741.977,995125.6829,975863.4279
2023-01-25,922339.3686,887552.7224,1060194.183,992203.3222,962608.8167
2023-01-26,927958.3377,891292.3391,1064781.848,981298.8554,964804.6641
2023-01-27,928741.9354,892223.1272,1071735.716,971060.2983,944545.7214
2023-01-30,921608.1958,883733.1879,1062412.211,952931.3,940713.8891
2023-01-31,931692.8925,889693.7942,1059318.462,965740.5823,945056.7043
2023-02-01,931882.092,887798.1743,1060207.65,964535.3058,937082.3532
2023-02-02,930815.5492,890957.376,1056631.929,965043.3646,938749.2498
2023-02-03,927318.775,885607.1363,1058901.613,974552.0856,929686.2175
2023-02-06,926362.3139,884565.929,1057482.66,978208.2167,926955.6076
2023-02-07,933624.0728,888169.6511,1057971.781,975534.1671,938173.8957
2023-02-08,927947.447,883017.0487,1049060.054,966118.2671,950239.5
2023-02-09,921137.7596,875526.9619,1039408.797,948031.8683,950147.7919
2023-02-10,925767.8089,879072.5701,1045975.399,952992.7621,929579.6843
2023-02-13,936063.2729,886883.714,1057750.77,960736.1316,930849.3942
2023-02-14,931781.1927,882410.0446,1052118.5,964783.6656,913978.0405
2023-02-15,932841.2224,887194.8375,1059321.836,968239.6,899454.4642
2023-02-16,921055.0115,876454.0272,1046766.734,970041.2449,892568.0063
2023-02-17,924603.997,881715.6755,1054077.878,975716.5791,903838.2692
2023-02-21,905549.7276,859077.0792,1033420.343,969647.8257,890375.7826
2023-02-22,903240.0415,853828.5207,1029549.178,966106.6816,899804.5676
2023-02-23,906214.4884,857533.9801,1028474.084,981269.2385,888256.5593
2023-02-24,897003.398,849532.4757,1019476.585,980367.5421,898095.089
2023-02-27,898976.0057,852763.6263,1023798.763,952370.7215,905852.5123
2023-02-28,892623.942,849294.9554,1021433.823,951425.1507,890176.8804
2023-03-01,892764.4536,851312.0027,1029346.655,954510.479,891452.9229
2023-03-02,902105.1648,854420.3962,1040091.76,957651.7004,892967.9984
2023-03-03,912694.1444,864790.1301,1053048.892,960453.9376,898716.2
2023-03-06,913800.4063,863510.2307,1049605.172,961601.6652,897181.6214
2023-03-07,898084.1415,844064.8787,1027328.052,970343.2402,904498.1949
2023-03-08,896497.0865,845161.7974,1030806.459,977251.8,908541.4472
2023-03-09,881640.2273,826096.9191,1008932.657,973478.479,921190.8968
2023-03-10,872204.1689,818272.5843,989611.4122,973198.6189,935158.9377
2023-03-13,869730.4815,819099.0049,986487.6,963561.8023,932565.525
2023-03-14,878921.6589,823873.3807,995145.3341,978581.5165,937082.7
2023-03-15,871245.5723,818944.6987,985886.5166,964268.2928,938620.8608
2023-03-16,881413.1238,826716.9271,993897.394,960368.5528,940809.9281
2023-03-17,870901.447,817425.3463,984424.8717,962186.0664,941783.8
2023-03-20,881359.2575,827105.2212,1000191.794,950898.5861,938824.5425
2023-03-21,889997.1972,834453.4577,1013228.107,950642.2323,949458.9524
2023-03-22,875497.0091,820096.9752,993736.1,942306.9231,945543.7085
2023-03-23,877550.8701,823211.1757,994392,941545.5,951304.5095
2023-03-24,881166.5345,824283.2771,997774.1355,953074.469,953678.6352
2023-03-27,886484.3006,828850.4862,999627.5176,957659.7004,950894.8586
2023-03-28,885450.2697,828329.7972,1004926.043,961118.7259,949206.9
2023-03-29,894288.5666,835420.8401,1016669.478,948368,949200.162
2023-03-30,898154.3973,840339.9039,1020974.437,942883.9,950611.7561
2023-03-31,909501.029,852546.7832,1033635.049,930075.9624,940918.7286
2023-04-03,918439.1041,859899.6683,1040026.418,922247.1433,934560.2805
2023-04-04,913006.0246,852201.8022,1029356.555,924940.4495,949990.1327
2023-04-05,915201.9988,855000.2506,1024148.15,932484.5823,959116.0945
2023-04-06,915272.2546,854054.0094,1016861.915,932391.9692,957445.6756
2023-04-10,918039.2439,857089.9237,1023854.34,943204.2715,947390.8194
2023-04-11,920725.3004,861953.7368,1029291.312,936645.7841,940313.7484
2023-04-12,919678.7239,857439.0579,1023354.249,949522.8665,933072.9424
2023-04-13,930152.7103,867144.0719,1035241.735,956385.2509,946502.2
2023-04-14,926237.9248,867329.818,1034707.96,946025.9119,944132.6237
2023-04-17,928990.7135,862804.247,1039149.803,942659.7198,941050.9769
2023-04-18,928702.3231,861511.4518,1038634.431,950443.1627,942877.1
2023-04-19,926526.1017,851958.6039,1033720.777,960154.4391,938526.5
2023-04-20,923508.7326,848980.5716,1033266.516,950268.7682,937039.4609
2023-04-21,924119.3601,847330.1716,1033208.432,948980.7035,938514.4198
2023-04-24,925935.3337,849554.2125,1028368.067,953939.6893,933043.8173
2023-04-25,916516.9994,846438.1274,1013364,962183.5903,939961.7309
2023-04-26,910258.788,830593.6965,1009851.907,987323.3,945803.0645
2023-04-27,924589.476,839261.3105,1022827.329,984575.0806,943565.2216
2023-04-28,932024.2052,842676.8835,1033164.728,1004339.212,936868.102
2023-05-01,930754.2622,845362.1009,1026687.378,1007882.091,927314.8901
2023-05-02,920718.2534,834243.6108,1002516.189,1011784.256,918185.1
2023-05-03,913330.1836,819865.4015,989843.2888,1020326.8,922251.1493
2023-05-04,905499.1178,819812.4761,980422.332,1020100.271,929693.6089
2023-05-05,920440.7537,835706.2493,1004894.984,1030941.124,926422.4778
2023-05-08,918918.6159,832780.1108,1003626.014,1013896.651,919668.7708
2023-05-09,917363.806,831406.0618,1002965.309,1007198.452,926313.0095
