date,dji,test_1_ens_no_indic,test_2_ens_default_indic,test_3_ens_def_mix_indic,test_4_ens_diff_indic,test_5_ens_extensive_indic
2022-07-28,889150.711,877225.6028,941206.5255,894977.2774,889876.3591,959658.6656
2022-07-29,897774.3967,890625.3014,951804.8135,900861.773,889876.4844,979744.535
2022-08-01,896497.0865,889734.6853,950853.0149,899960.9195,888986.6214,978764.8259
2022-08-02,885502.748,885394.1728,947856.6112,896625.7923,885801.2364,975843.4
2022-08-03,896882.5324,895468.3043,951389.2488,902838.8,890456.5817,978950.6143
2022-08-04,894540.6013,892860.9456,951273.0244,898750.6095,889018.1469,977889
2022-08-05,896635.6762,894988.7269,951126.568,900407.2786,889471.1663,978863.3791
2022-08-08,897430.2714,895423.208,951286.4522,901333.7019,889776.0279,979135.1145
2022-08-09,895841.4013,897132.6222,952211.8738,901473.026,889424.5973,972646.4
2022-08-10,910467.6335,911355.3165,961027.3838,916062.7557,902344.2443,993229.7789
2022-08-11,911210.0173,913810.6961,961026.7381,916312.174,899773.2313,996686.759
2022-08-12,922809.8048,925329.0074,967165.4752,928824.4065,913963.0345,1005779.212
2022-08-15,926947.85,929916.9762,970246.5153,934057.9,917947.7544,1007241.323
2022-08-16,933496.1602,934016.7872,973481.9317,939247.0969,922457.9959,1010661.259
2022-08-17,928803.2224,929661.0684,969863.8455,936135.9536,918182.0202,1003613.207
2022-08-18,929314.8725,931163.6443,969059.0329,935646.4634,916386.0359,1005381.94
2022-08-19,921325.2507,922629.4071,962382.7587,930044.5903,911901.3685,994138.04
2022-08-22,903746.2463,905800.3784,947342.5532,914316.9308,895998.4963,974410.0255
2022-08-23,899536.3438,902089.1721,944213.756,906497.3252,886847.4134,978344.9462
2022-08-24,901166.5345,905627.9939,946314.8343,907979.4142,886618.7963,981317.8039
2022-08-25,909982.9966,916811.0787,956058.4121,917764.5,895259.5033,990784.2023
2022-08-26,882420.355,890435.4817,932782.4307,891649.2884,868827.9153,956877.6485
2022-08-29,877379.7684,885821.993,929438.4088,888515.7493,864816.3677,950884.2491
2022-08-30,868957.7211,878081.3845,920289.6554,882186.8824,855809.0029,940955.4
2022-08-31,861292.3116,871634.7392,914972.4038,878629.0548,850607.6377,933069.8
2022-09-01,865282.7449,874202.46,913675.5892,885178.9192,853278.2358,929298.3578
2022-09-02,856044.5345,864917.3411,904747.5853,873834.2397,841126.9356,922039.8
2022-09-06,851312.0377,860029.8285,900164.373,869805.1062,837023.7768,914522.2716
2022-09-07,863228.8839,872760.9273,912403.3687,881897.2721,847923.8631,925303.6417
2022-09-08,868510.828,877377.2244,917405.2764,888040.8335,853348.3737,933591.9585
2022-09-09,878820.813,888354.8443,926933.07,896076.5486,862846.2013,949741.065
2022-09-12,885097.3892,897574.0079,934106.3381,900788.7635,872033.165,959410.8195
2022-09-13,850209.673,863937.4425,897311.3411,865881.7877,835095.1664,920561.1115
2022-09-14,851032.9364,865634.6896,898657.4845,864153.9297,831924.4458,926360.4793
2022-09-15,846296.8628,862933.2024,897219.9226,866502.3829,831820.8505,919778.5624
2022-09-16,842486.5534,855646.5375,890985.2722,863871.8594,828732.3952,909066.2696
2022-09-19,847878.3656,861653.602,896056.8876,868409.2944,830305.4927,914999.1624
2022-09-20,839310.6817,854467.3997,888693.5471,859481.6762,825676.4019,903327.5084
2022-09-21,825030.2297,839821.8892,873324.5237,846008.6147,810812.1742,889852.7988
2022-09-22,822102.8158,832451.2443,867690.7854,845737.4381,817874.6471,883878.1094
2022-09-23,808811.337,816682.2061,851859.4604,833567.2,809459.0936,858496.8053
2022-09-26,799802.2054,805694.6967,842236.7493,825357.3321,803989.6868,846313.7615
2022-09-27,796363.0879,800288.8666,839993.9962,821389.0869,802245.0423,844105.6175
2022-09-28,811362.3806,814308.7729,853511.8864,836633.4627,814418.6582,864295.2974
2022-09-29,798840.0319,801053.229,832597.0062,825008.116,803289.7769,847004.1123
2022-09-30,785170.5278,785463.6977,817140.0141,809701.5,792860.9902,828235.2806
2022-10-03,806091.1137,806387.4098,838783.4126,828488.1949,814335.4008,851107.2986
2022-10-04,828653.0479,830010.4246,862117.8831,850687.5132,833466.3036,884991.5
2022-10-05,827492.7062,828522.0057,860968.5461,850515,836365.3959,881312.1084
2022-10-06,818009.8817,819721.4709,851427.8793,838743.9261,825192.2899,872866.335
2022-10-07,800785.6264,800144.1838,833037.2385,819397.4541,793609.1616,857719.2875
2022-10-10,798218.7806,794893.9939,829809.7683,816919.0483,782546.0803,855967.2567
2022-10-11,799211.2238,792019.4504,833133.9412,821595.9554,778291.0131,853815.4403
2022-10-12,798436.5949,791503.9452,831675.2055,822730.7543,778056.0321,853512.2374
2022-10-13,821065.2616,818804.1987,847749.8334,845430.6215,799823.6358,877663.2793
2022-10-14,810025.4918,805480.5896,842643.315,835173.9444,793387.6661,864044.0324
2022-10-17,825086.018,822884.1079,856961.1702,850086.1049,813453.6799,877192.2363
2022-10-18,834324.2284,833795.5278,863301.4956,858491.9496,815886.8982,888576.4773
2022-10-19,831591.139,834717.6547,854962.6439,853200.6564,811548.4223,887280.104
2022-10-20,829125.0858,833390.1444,850486.7931,851797.6204,811577.4647,882019.4382
2022-10-21,849597.1236,851329.2774,872574.8465,875403.1156,831714.0231,910197.6877
2022-10-24,860996.8209,858356.6186,888178.1159,888807.2547,846336.2987,921472.9312
2022-10-25,870211.5415,870314.0804,894197.9866,896138.6689,850999.9471,934379.0583
2022-10-26,870276.2985,863781.238,898734.282,907078.6652,825511.556,934314.1667
2022-10-27,875583.6543,867065.025,904619.5968,910905.9206,817798.4757,952261
2022-10-28,898230.0984,892243.4221,925365.8306,929015,839559.4115,974748.9559
2022-10-31,894708.1261,888378.5721,924439.632,925463.513,837058.4164,969434.6746
2022-11-01,892528.2745,884235.5169,918550.1885,926256.895,824848.8458,971958.2269
2022-11-02,878712.8134,866299.224,906958.21,913661.9909,809508.326,959810.4787
2022-11-03,874708.1795,861495.6207,907140.2725,908922.2327,801089.6479,966445.054
2022-11-04,885695.471,868840.0029,910326.1411,919407.6947,808242.2876,980613.6078
2022-11-07,897278.8691,880103.6223,921213.9362,931284.8524,824494.2415,993619.8764
2022-11-08,906403.5811,886986.1826,929003.275,942955.3883,832081.0715,1004472.487
2022-11-09,888721.8089,862466.4556,914126.636,920009.8452,814125.9889,989867.641
2022-11-10,921561.2162,896100.9322,939462.012,945357.1631,845675.0366,1029814.329
2022-11-11,922449.2367,900196.4098,921998.7403,947234,836516.217,1040484.23
2022-11-14,916677.4773,893484.9834,912776.8625,945285.2808,820545.1621,1031974.618
2022-11-15,918214.2428,893333.4391,912468.5652,950724.9522,815569.1508,1034775.352
2022-11-16,917145.6713,890109.4968,919085.7822,951809.7496,822956.3919,1027716.708
2022-11-17,916940.4561,888675.2547,921209.8471,951703.487,825494.8454,1026303.919
2022-11-18,922389.9784,893113.129,934078.72,954932.2369,836641.2532,1028653.934
2022-11-21,921148.757,891789.2071,930327.1875,965424,828765.4292,1033002.662
2022-11-22,932022.6036,901347.6748,941931.7227,968005.3063,838709.6521,1045640.311
